Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
5,1,,DQN,DISCARD,C9;Q3;J0,0.0,[ 3.  4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q3;J0', 'C9;Q3;J0', 'pass']",,,,
5,1,,R1,DISCARD,C6;Q3;J0,0.0,[ 3.  4.  5.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q3;J0', 'C6;Q4;J0', 'pass']",,,,
5,1,,R2,DISCARD,pass,0.0,[ 4.  6.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 11. 12. 12.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,1,,R3,DISCARD,pass,0.0,[ 1.  2.  2.  3.  4.  5.  7.  7.  8.  8.  9.  9. 10. 11.  0.  0.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,1,,DQN,DISCARD,pass,0.0,[ 3.  4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R1,DECLARE_PIZZA,,,,,,,,,,
5,2,,R1,DISCARD,C5;Q1;J0,0.0,[ 3.  4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
5,2,,R2,DISCARD,C4;Q1;J2,0.0,[ 6.  7.  7.  8.  8.  8.  9. 10. 10. 10. 10. 11. 11. 11.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C4;Q1;J0', 'C4;Q1;J1', 'C4;Q1;J2', 'pass']",,,,
5,2,,R3,DISCARD,pass,0.0,[ 1.  2.  2.  3.  4.  5.  7.  7.  8.  8.  9.  9. 10. 11.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,2,,DQN,DISCARD,pass,0.0,[ 3.  4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,2,,R1,DISCARD,pass,0.0,[ 3.  4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 4. 12. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,,,R2,DECLARE_PIZZA,,,,,,,,,,
5,3,,R2,DISCARD,C10;Q4;J0,0.0,[ 6.  7.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
5,3,,R3,DISCARD,pass,0.0,[ 1.  2.  2.  3.  4.  5.  7.  7.  8.  8.  9.  9. 10. 11.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,3,,DQN,DISCARD,pass,0.0,[ 3.  4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,3,,R1,DISCARD,pass,0.0,[ 3.  4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,,,R2,DECLARE_PIZZA,,,,,,,,,,
5,4,,R2,DISCARD,C7;Q1;J0,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
5,4,,R3,DISCARD,C4;Q1;J0,0.0,[ 1.  2.  2.  3.  5.  7.  7.  8.  8.  9.  9. 10. 11.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'C2;Q1;J0', 'C2;Q2;J0', 'C3;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'pass']",,,,
5,4,,DQN,DISCARD,C3;Q1;J0,0.0,[ 4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'pass']",,,,
5,4,,R1,DISCARD,pass,0.0,[ 3.  4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,4,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,4,,R3,DISCARD,C2;Q2;J0,0.0,[ 1.  3.  5.  7.  7.  8.  8.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'C2;Q1;J0', 'C2;Q2;J0', 'pass']",,,,
5,4,,DQN,DISCARD,pass,0.0,[ 4.  5.  5.  6.  7.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R3,DECLARE_PIZZA,,,,,,,,,,
5,5,,R3,DISCARD,C8;Q1;J0,0.0,[ 1.  3.  5.  7.  7.  8.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'C3;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
5,5,,DQN,DISCARD,C7;Q1;J0,0.0,[ 4.  5.  5.  6.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'pass']",,,,
5,5,,R1,DISCARD,C3;Q1;J0,0.0,[ 4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'pass']",,,,
5,5,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,5,,R3,DISCARD,C1;Q1;J0,0.0,[ 3.  5.  7.  7.  8.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'pass']",,,,
5,5,,DQN,DISCARD,pass,0.0,[ 4.  5.  5.  6.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,5,,R1,DISCARD,pass,0.0,[ 4.  5.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R3,DECLARE_PIZZA,,,,,,,,,,
5,6,,R3,DISCARD,C7;Q1;J0,0.0,[ 3.  5.  7.  8.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
5,6,,DQN,DISCARD,C6;Q1;J0,0.0,[ 4.  5.  5.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'pass']",,,,
5,6,,R1,DISCARD,C5;Q1;J0,0.0,[ 4.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'pass']",,,,
5,6,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,6,,R3,DISCARD,C3;Q1;J0,0.0,[ 5.  7.  8.  9.  9. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C3;Q1;J0', 'pass']",,,,
5,6,,DQN,DISCARD,pass,0.0,[ 4.  5.  5.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,6,,R1,DISCARD,pass,0.0,[ 4.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R3,DECLARE_PIZZA,,,,,,,,,,
5,7,,R3,DISCARD,C11;Q1;J0,0.0,[ 5.  7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
5,7,,DQN,DISCARD,C4;Q1;J0,0.0,[ 5.  5.  8.  8.  8. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
5,7,,R1,DISCARD,pass,0.0,[ 4.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,7,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,7,,R3,DISCARD,pass,0.0,[ 5.  7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,DQN,DECLARE_PIZZA,,,,,,,,,,
5,8,,DQN,DISCARD,C8;Q3;J0,0.0,[ 5.  5. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
5,8,,R1,DISCARD,pass,0.0,[ 4.  6.  7.  7.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,8,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,8,,R3,DISCARD,pass,0.0,[ 5.  7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,DQN,DECLARE_PIZZA,,,,,,,,,,
5,9,,DQN,DISCARD,C10;Q2;J0,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
5,9,,R1,DISCARD,C7;Q2;J0,0.0,[ 4.  6.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q2;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
5,9,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,9,,R3,DISCARD,pass,0.0,[ 5.  7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,9,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q2;J0', 'pass']",,,,
5,,,R1,DECLARE_PIZZA,,,,,,,,,,
5,10,,R1,DISCARD,C4;Q1;J0,0.0,[ 6.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C6;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
5,10,,R2,DISCARD,pass,0.0,[ 6.  7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,10,,R3,DISCARD,pass,0.0,[ 5.  7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,10,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R1,DECLARE_PIZZA,,,,,,,,,,
5,11,,R1,DISCARD,C11;Q1;J0,0.0,[ 6.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C6;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
5,11,,R2,DISCARD,C6;Q1;J0,0.0,[ 7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'pass']",,,,
5,11,,R3,DISCARD,C5;Q1;J0,0.0,[ 7.  8.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'pass']",,,,
5,11,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,11,,R1,DISCARD,pass,0.0,[ 6.  9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,11,,R2,DISCARD,pass,0.0,[ 7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R3,DECLARE_PIZZA,,,,,,,,,,
5,12,,R3,DISCARD,C10;Q1;J0,0.0,[7. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'pass']",,,,
5,12,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C5;Q2;J0', 'pass']",,,,
5,12,,R1,DISCARD,C6;Q1;J0,0.0,[ 9.  9.  9. 10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
5,12,,R2,DISCARD,pass,0.0,[ 7.  8.  8.  8.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,12,,R3,DISCARD,pass,0.0,[7. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R1,DECLARE_PIZZA,,,,,,,,,,
5,13,,R1,DISCARD,C10;Q3;J0,0.0,[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'pass']",,,,
5,13,,R2,DISCARD,C8;Q3;J0,0.0,[ 7.  9. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q3;J0', 'pass']",,,,
5,13,,R3,DISCARD,pass,0.0,[7. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,13,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,13,,R1,DISCARD,pass,0.0,[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
5,,,R2,DECLARE_PIZZA,,,,,,,,,,
5,14,,R2,DISCARD,C11;Q3;J0,0.0,[7. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],"['C7;Q1;J0', 'C9;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
5,14,,R3,DISCARD,pass,0.0,[7. 8. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,14,,DQN,DISCARD,pass,0.0,[ 5.  5. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
5,14,,R1,DISCARD,C9;Q3;J0,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C9;Q3;J0', 'pass']",,,,
